[NAME][100][1]	[COMMENT][211][1]	[TYPE][101][1]	[LENGTH][105][1]	[FORMAT][106][1]	[CONNECTION][102][1]	[GROUP][104][1]	[ADDRPARAMS][108][1]	[SCALEVALID][112][2]	[SCALEPARAM1][113][1]	[SCALEPARAM2][114][1]	[SCALEPARAM3][115][1]	[SCALEPARAM4][116][1]	[MINLIMIT][117][1]	[MAXLIMIT][118][1]	[STARTVALUE][119][1]	[SUBSTVALUE][120][1]	[SUBSTVALUE_ON_MINLIMIT][121][2]	[SUBSTVALUE_ON_MAXLIMIT][122][2]	[SUBSTVALUE_AS_STARTVALUE][123][2]	[SUBSTVALUE_ON_ERROR][124][2]	[UPDATEMODE][111][2]	[SYNCHRONIZATION][125][2]	[RUNTIMEPERSISTENCE][126][2]	[PLCVARIABLENAME][209][1]	[PLCBLOCKNAME][210][1]
Name	Comment	Data type	Length	Format adaptation	Connection	Group	Address	Linear scaling	AS value range from	AS value range to	OS value range from	OS value range to	Low limit	High limit	Start value	Substitute value	Substitute value at low limit	Substitute value at high limit	Substitute value as start value	Substitute value on connection errors	Computer-local	Synchronization	Runtime persistence	AS tag name	Name space
Alarms_57		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW114	0									0	0	0	0	0	0	0		
Alarms_58		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW116	0									0	0	0	0	0	0	0		
Alarms_59		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW118	0									0	0	0	0	0	0	0		
Alarms_65		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW130	0									0	0	0	0	0	0	0		
Alarms_66		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW132	0									0	0	0	0	0	0	0		
Alarms_67		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW134	0									0	0	0	0	0	0	0		
Alarms_70		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW140	0									0	0	0	0	0	0	0		
Alarms_73		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW146	0									0	0	0	0	0	0	0		
Alarms_74		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW148	0									0	0	0	0	0	0	0		
Alarms_75		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW150	0									0	0	0	0	0	0	0		
Alarms_76		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW152	0									0	0	0	0	0	0	0		
Alarms_77		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW154	0									0	0	0	0	0	0	0		
Alarms_78		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW156	0									0	0	0	0	0	0	0		
Alarms_79		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW158	0									0	0	0	0	0	0	0		
Alarms_85		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW170	0									0	0	0	0	0	0	0		
Alarms_86		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW172	0									0	0	0	0	0	0	0		
Alarms_87		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW174	0									0	0	0	0	0	0	0		
Alarms_90		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW180	0									0	0	0	0	0	0	0		
Alarms_93		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW186	0									0	0	0	0	0	0	0		
Alarms_94		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW188	0									0	0	0	0	0	0	0		
Alarms_95		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW190	0									0	0	0	0	0	0	0		
Alarms_96		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW192	0									0	0	0	0	0	0	0		
Alarms_97		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW194	0									0	0	0	0	0	0	0		
Alarms_98		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW196	0									0	0	0	0	0	0	0		
Alarms_99		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW198	0									0	0	0	0	0	0	0		
Alarms_105		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW210	0									0	0	0	0	0	0	0		
Alarms_106		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW212	0									0	0	0	0	0	0	0		
Alarms_107		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW214	0									0	0	0	0	0	0	0		
Alarms_110		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW220	0									0	0	0	0	0	0	0		
Alarms_113		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW226	0									0	0	0	0	0	0	0		
Alarms_114		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW228	0									0	0	0	0	0	0	0		
Alarms_115		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW230	0									0	0	0	0	0	0	0		
Alarms_116		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW232	0									0	0	0	0	0	0	0		
Alarms_117		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW234	0									0	0	0	0	0	0	0		
Alarms_118		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW236	0									0	0	0	0	0	0	0		
Alarms_119		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW238	0									0	0	0	0	0	0	0		
Alarms_125		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW250	0									0	0	0	0	0	0	0		
Alarms_126		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW252	0									0	0	0	0	0	0	0		
Alarms_127		Unsigned 16-bit value	2	WordToUnsignedWord	Common_PLC-1	Alarms	DB225,DBW254	0									0	0	0	0	0	0	0		
Bruttogewicht_1		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	T_W	DB227,DBW70	0									0	0	0	0	0	0	0		
Bruttogewicht_2		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	T_W	DB227,DBW72	0									0	0	0	0	0	0	0		
Control_System_OK		Binary Tag	1		Common_PLC-1	PLC	DB451,DW146.4	0									0	0	0	0	0	0	0		
Emergency_stop_TPK_active		Binary Tag	1		Common_PLC-1	Alarms	DB451,DW1.2	0									0	0	0	0	0	0	0		
Hydraulic_Alarm_Close		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW36.5	0									0	0	0	0	0	0	0		
Hydraulic_Cast_Ready		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW0.0	0									0	0	0	0	0	0	0		
Hydraulic_Filter_loaded		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW36.0	0									0	0	0	0	0	0	0		
Hydraulic_Gate_1_Close_Fast		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.2	0									0	0	0	0	0	0	0		
Hydraulic_Gate_1_Close_Slow		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.3	0									0	0	0	0	0	0	0		
Hydraulic_Gate_1_Open_Fast		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.4	0									0	0	0	0	0	0	0		
Hydraulic_Gate_1_Open_Slow		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.5	0									0	0	0	0	0	0	0		
